RamanShift (cm-1)	00:00:56	00:01:25	00:01:55	00:02:26
3116.0000	1352.79136880	1391.23035529	1311.53981853	1257.28056044
3115.0000	1340.21720966	1365.25035913	1288.46536123	1180.52049157
3114.0000	1370.54329406	1302.30970354	1302.33286169	1097.07478470
3113.0000	1345.21293510	1181.93763333	1309.27270789	990.31144275
3112.0000	1215.55236315	1051.76685831	1258.91157424	935.27018570
3111.0000	1121.13828075	1049.44335569	1169.79783078	1029.04468782
3110.0000	1140.55728932	1162.54823438	1068.28599647	1183.90759052
3109.0000	1142.45792224	1221.51862494	968.95506599	1201.46717761
3108.0000	1059.75058343	1174.53571793	915.97648311	1076.66717954
3107.0000	1016.16287543	1100.64496915	933.19647689	991.45196602
3106.0000	1079.78553964	1033.13054996	985.71796528	1030.83842655
3105.0000	1159.47397953	993.34953845	1048.40282682	1119.91396934
3104.0000	1166.13532684	1033.45111182	1112.99048468	1174.46968075
3103.0000	1111.55211797	1122.23917794	1139.32677641	1175.74464582
3102.0000	1062.35991541	1162.72850127	1116.02746269	1158.67237485
3101.0000	1056.12562618	1133.12732463	1112.85083972	1165.38574191
3100.0000	1078.78292837	1087.36367726	1173.47551270	1197.59245878
3099.0000	1113.97426553	1071.53838035	1218.18207821	1232.35051429
3098.0000	1141.20507961	1090.86760474	1145.59826117	1234.69624733
3097.0000	1119.80346415	1109.00768903	1017.77277934	1162.35857210
3096.0000	1074.55209612	1090.57228110	1032.47424450	1056.40948169
3095.0000	1098.78454713	1055.22000270	1248.64750580	1050.66100689
3094.0000	1197.74402248	1054.13474357	1473.92507829	1187.68293344
3093.0000	1263.96873902	1108.98117107	1522.21989192	1344.48656250
3092.0000	1226.55828643	1191.54563542	1419.40888307	1396.99543416
3091.0000	1122.34167586	1242.01240861	1282.16562333	1346.63217575
3090.0000	1054.97109382	1223.02739813	1183.46575770	1282.79388380
3089.0000	1099.99230186	1172.46480251	1162.73788412	1279.10398727
3088.0000	1198.15919603	1165.77334104	1202.93646718	1315.94462799
3087.0000	1223.74858451	1214.99538816	1228.32451271	1326.44254106
3086.0000	1189.34064323	1259.11536333	1222.16643373	1308.28181449
3085.0000	1226.22717147	1270.78904909	1255.20817821	1307.37807455
3084.0000	1347.58777856	1287.59731900	1350.87775093	1322.85037470
3083.0000	1408.96013135	1299.41750076	1427.74619724	1315.12849062
3082.0000	1329.83119118	1233.24473962	1404.27789182	1267.14330728
3081.0000	1212.52693032	1112.16039018	1299.44725020	1190.72506021
3080.0000	1200.06777471	1069.47503462	1213.18855089	1118.59469942
3079.0000	1304.69496133	1144.77378659	1217.36869106	1100.32845180
3078.0000	1418.30605701	1233.93196888	1285.70885609	1157.79919342
3077.0000	1441.52610002	1269.21321661	1351.29252512	1240.74413096
3076.0000	1379.28696502	1286.02924508	1388.83898706	1274.24436484
3075.0000	1329.58119385	1312.03247185	1401.63110047	1260.10315519
3074.0000	1363.46040796	1327.41959761	1390.40540047	1273.90204624
3073.0000	1431.36935500	1331.89051077	1379.66394589	1343.32873318
3072.0000	1446.35882738	1356.89654011	1410.95432079	1398.25422392
3071.0000	1408.92437486	1405.24124082	1473.70464480	1370.17909559
3070.0000	1373.22373446	1436.64996934	1496.09537906	1291.60529984
3069.0000	1369.44560014	1434.82067567	1437.73051884	1269.95907527
3068.0000	1418.70354855	1447.30587011	1364.55910253	1369.22651297
3067.0000	1531.27464999	1519.88944999	1393.42810917	1530.81039980
3066.0000	1659.91074088	1619.99354910	1545.05604880	1638.44212326
3065.0000	1727.22766367	1671.08132272	1693.99222668	1649.90014299
3064.0000	1708.02133616	1651.14268971	1722.59471707	1622.68569629
3063.0000	1655.13195994	1614.05412841	1672.21105993	1624.25857931
3062.0000	1638.64897715	1606.92010101	1656.66260522	1655.12012604
3061.0000	1666.76169409	1610.41657071	1696.78876418	1664.59747439
3060.0000	1703.73757672	1592.78380346	1738.00637615	1635.47387482
3059.0000	1739.91242658	1576.44831665	1747.20786622	1616.92487560
3058.0000	1751.38484488	1597.19506753	1712.45313376	1644.05434719
3057.0000	1671.63880331	1639.19164285	1643.11969668	1686.63596697
3056.0000	1546.89422262	1670.92405127	1613.55805372	1719.36126936
3055.0000	1570.04995035	1708.56216277	1698.85271152	1763.66426757
3054.0000	1794.41188991	1781.80625165	1853.82762332	1829.18825111
3053.0000	2013.44887876	1866.64197614	1961.66158535	1893.91690534
3052.0000	2070.72325026	1920.34859781	2000.18745987	1953.39586806
3051.0000	2057.80076144	1960.20799335	2055.65548266	2022.48138080
3050.0000	2096.25264217	2023.49129163	2164.43678429	2090.33395137
3049.0000	2157.65559247	2070.66352636	2246.18512189	2124.02305399
